排名,搜索词,搜索人气,相关搜索词数,点击率,点击人气,支付转化率,直通车参考价,日期：20170531,日期：20170601,日期：20170602,日期：20170603,日期：20170604,日期：20170605,日期：20170606
1,短裤,256369,16829,1.5209,190788,0.0676,4.7,1,1,1,1,1,1,1
2,牛仔裤,196546,18898,1.4851,146057,0.0475,3.89,2,2,2,2,2,2,2
3,裤,99164,7213,1.4486,72371,0.042,3.12,3,3,3,3,3,3,3
4,裤子,72595,4110,1.2276,51112,0.0351,3.12,4,5,5,5,5,4,4
5,背带裤,62875,2836,1.3776,46505,0.0321,1.96,5,4,4,4,4,5,5
6,背带,50792,1366,1.5134,38994,0.0417,1.88,6,6,6,6,7,7,6
7,超短裤,49799,1147,1.401,37464,0.0753,1.85,7,7,7,7,6,6,7
8,热裤,44965,1374,1.5857,33649,0.0771,1.95,8,8,8,8,8,8,8
9,七分裤,40107,1669,1.1698,28732,0.0609,2.73,9,9,9,9,9,9,9
10,长裤,35454,1531,1.3313,26118,0.0509,1.78,10,10,10,10,10,11,10
11,喇叭裤,31558,919,1.5274,23634,0.0372,1.71,11,11,11,11,11,10,11
12,女装,25308,960,1.1249,16690,0.0323,1.58,13,13,12,12,13,12,12
13,五分裤,20782,643,1.2741,14707,0.0567,3.89,12,12,13,13,12,13,13
14,女裤,17284,721,1.1504,12055,0.0384,2.99,16,16,14,14,14,14,14
15,刺绣,16988,529,1.436,12651,0.0443,2.59,15,15,15,16,16,15,15
16,牛,15016,448,1.1391,10074,0.0448,1.87,17,17,17,17,17,17,16
17,渔网,13316,196,1.2161,9587,0.0416,1.47,18,19,19,18,18,18,17
18,马裤,12028,340,0.9239,7938,0.0579,1.79,14,14,16,15,15,16,18
19,夏装,11341,436,1.0752,7914,0.05,1.36,19,18,18,19,20,19,19
20,套装,11273,364,0.9446,7170,0.0145,1.17,21,20,21,20,19,21,20
21,连体裤,10675,204,1.4361,8176,0.0252,1.4,20,21,22,21,21,20,21
22,宽松裤,8524,43,1.3315,5693,0.0308,1.48,27,23,20,24,34,34,22
23,喇叭,8481,171,1.7107,6607,0.0302,1.71,22,22,24,23,23,22,23
24,仔裤,7268,155,1.2719,4860,0.0436,0.81,23,28,27,28,24,24,24
25,吊带,7233,136,1.2711,5377,0.0324,0.96,25,26,23,22,22,25,25
26,休闲裤,6847,107,1.2196,4880,0.0358,2.07,26,29,28,26,27,23,26
27,绑带,6682,114,1.7905,5182,0.0486,1.37,24,25,30,25,25,26,27
28,裙裤,5948,103,1.1853,4065,0.0531,1.88,29,24,31,30,26,31,28
29,紧身裤,5326,67,1.2707,3820,0.0652,1.66,28,30,29,29,28,28,29
30,裤脚,5128,73,1.2806,3424,0.0317,0.67,32,32,35,33,30,30,30
31,裤衩,4569,70,0.6237,2555,0.0194,1.31,30,27,33,31,29,29,31
32,网,4519,85,1.2754,3227,0.028,0.73,34,35,34,36,38,39,32
33,铅笔,4182,103,1.1871,2799,0.0637,0.82,36,37,40,40,39,41,33
34,服饰,4175,71,1.6199,3132,0.0838,1.58,39,39,42,41,37,36,34
35,玫瑰,4078,41,1.2587,2879,0.0495,1.11,35,33,37,38,35,43,35
36,裤裙,4073,73,1.0149,2621,0.0559,0.73,31,31,32,34,31,35,36
37,亮片,4061,77,1.5672,3213,0.0272,0.77,33,36,38,35,32,42,37
38,鱼网,3856,49,1.1519,2829,0.0343,0.77,38,34,25,37,33,38,38
