热销排名,商品信息,所属店铺,支付子订单数,交易增长幅度,支付转化率指数,日期：20170620,日期：20170621,日期：20170622,日期：20170623,日期：20170624,日期：20170625,日期：20170626
1,2017春夏季新款卷边薄款九分牛仔裤女修身显瘦小脚七分裤黑色弹力价格：258,缇哲服饰旗舰店,2923,1.3281,195,,,,,3,18,1
2,2017新款高腰牛仔大码胖mm学生显瘦韩版百搭宽松阔腿超短裤女夏季价格：45,雅羊人旗舰店,2561,-0.0759,193,1,2,2,1,1,1,2
3,高腰破洞牛仔短裤女夏潮毛边阔腿胖mm200斤宽松加肥加大码a字热裤价格：21.9,Since2015  沫沫家,2015,-0.1221,230,18,8,4,4,2,2,3
4,牛仔短裤女夏季破洞毛边高腰白色宽松学生阔腿牛仔裤显瘦百搭热裤价格：99,KO裤业总店,1961,-0.0714,167,10,7,6,7,5,3,4
5,牛仔短裤女2017夏新款韩版高腰显瘦a字裤子宽松阔腿热裤刺绣裤裙价格：298,皇袍旗舰店,1821,0,171,6,5,8,10,6,4,5
6,夏季白色牛仔短裤女高腰排扣宽松学生破洞毛边阔腿裤弹力显瘦热裤价格：168,简芭朵旗舰店,1696,-0.0316,171,9,6,7,8,8,5,6
7,牛仔短裤女夏白色2017新款高腰韩版宽松大码显瘦胖mm学生百搭热裤价格：109,慕汀服饰旗舰店,1616,0.1235,174,17,33,20,20,12,11,7
8,超短裤女夏季韩版宽松百搭毛边高腰显瘦阔腿学生破洞牛仔裤热裤潮价格：19.98,HL哈喽妹妹,1526,-0.0748,162,15,11,11,12,10,6,8
9,白色牛仔短裤女夏韩版2017新款a字超短裤裙宽松高腰大码阔腿热裤价格：298,野田妹旗舰店,1523,-0.0161,140,50,18,13,15,11,9,9
10,毛边高腰短裤牛仔夏女韩版学生宽松阔腿热裤显瘦2017新款短裤白色价格：168,纪悦旗舰店,1364,-0.1174,176,11,10,9,11,9,10,10
11,白色破洞高腰牛仔短裤女夏季2017新款韩版百搭宽松大码胖mm热裤bf价格：130,雅姿娘 YZN原创定制,1158,-0.0644,185,31,15,16,17,17,14,11
12,牛仔短裤夏季女2017新款韩版高腰宽松破洞毛边学生阔腿裤显瘦热裤价格：139,纯儿服饰旗舰店,1120,-0.3066,182,71,39,64,62,75,7,12
13,2017大码毛边牛仔短裤女夏新款韩版学生高腰宽松破洞胖mm阔腿热裤价格：129,尚兰奴旗舰店,1093,-0.1959,139,58,115,129,112,124,12,13
14,超短裤女夏2017新款高腰韩版宽松显瘦学生热裤潮破洞白色牛仔短裤价格：118,索斐春天旗舰店,1085,-0.0834,149,8,9,10,14,13,15,14
15,200斤夏季胖mm加肥加大码女装松紧腰阔腿宽松破洞牛仔裤女短裤潮价格：188,yy潮流八爪娘娘西西小可6度梦梦家,1071,0.4543,291,,203,121,109,67,43,15
16,白色毛边牛仔短裤女破洞夏季阔腿宽松显瘦高腰大码A字型热裤学生价格：99,artinside旗舰店,1067,-0.1342,180,29,16,15,16,15,13,16
17,春夏季薄款bf风韩版浅色破洞牛仔裤女高腰宽松显瘦九分裤哈伦裤子价格：199,flavie服饰旗舰店,1059,-0.079,176,25,17,14,18,20,16,17
18,高腰牛仔短裤女夏2017新款韩版宽松阔腿裤卷边A字热裤学生超短裤价格：189,知讯旗舰店,1049,-0.0728,200,38,29,35,23,21,17,18
19,夏装女装韩版高腰阔腿裤宽松显瘦毛边缺口白色牛仔裤短裤学生热裤价格：29.98,可可里小姐,1026,0.3256,155,94,34,27,41,41,41,19
20,夏季牛仔短裤女高腰韩版学生破洞修身阔腿宽松卷边白色百搭热裤价格：299,素柏旗舰店,1022,0.0439,171,65,30,25,21,19,21,20
21,牛仔短裤女夏高腰宽松弹力热裤夏季女2017新款韩版a字学生阔腿裤价格：88,卡帛莉旗舰店,969,0.1382,173,69,37,38,32,32,29,21
