主图缩略图,热销排名,商品信息,所属店铺,流量指数,搜索人气,支付子订单数,宝贝链接,店铺链接,查看详情,同款货源,日期：20170614,日期：20170615,日期：20170616,日期：20170617,日期：20170618,日期：20170619,日期：20170620
//img.alicdn.com/bao/uploaded/i2/TB1ALQhQVXXXXcVXFXXXXXXXXXX_!!0-item_pic.jpg_48x48.jpg,1,2017新款春夏装背带裤短裤宽松森女裤子可爱小清新休闲运动连体裤价格：105,戚米旗舰店,57063,23713,1615,//detail.tmall.com/item.htm?id=550022157813,//qimi.tmall.com,https://sycm.taobao.com/mq/industry/rank/industry.htm?spm=a21ag.7749237.LeftMenu.d343.DdV7M9#/?cateId=162205&categoryId=162205&dateRange=2017-06-20%7C2017-06-20&dateRangePre=2017-06-20%7C2017-06-20&dateType=recent1&dateTypePre=day&device=0&devicePre=0&itemDetailType=2&itemId=550022157813&rankTabIndex=1&rankType=2&seller=-1&view=detail,https://s.1688.com/youyuan/collaboration_search.htm?tab=sameDesign&sortType=booked&descendOrder=true&autoSimilarTab=true&fromTaobao=true&fromOfferId=550022157813&key=a418f1cc1167d5ffd6c9d695798feb8658356b#topoffer,1,1,1,1,1,1,1
//img.alicdn.com/bao/uploaded/i1/408457297/TB2svNlrmFjpuFjSspbXXXagVXa_!!408457297.jpg_48x48.jpg,2,牛仔短裤女夏季破洞毛边高腰白色宽松学生阔腿牛仔裤显瘦百搭热裤价格：99,KO裤业总店,42953,7662,1733,//item.taobao.com/item.htm?id=551316096564,//shop65988027.taobao.com,https://sycm.taobao.com/mq/industry/rank/industry.htm?spm=a21ag.7749237.LeftMenu.d343.bVfMRf#/?cateId=162205&categoryId=162205&dateRange=2017-06-20%7C2017-06-20&dateRangePre=2017-06-20%7C2017-06-20&dateType=recent1&dateTypePre=day&device=0&devicePre=0&itemDetailType=2&itemId=551316096564&rankTabIndex=1&rankType=2&seller=-1&view=detail,https://s.1688.com/youyuan/collaboration_search.htm?tab=sameDesign&sortType=booked&descendOrder=true&autoSimilarTab=true&fromTaobao=true&fromOfferId=551316096564&key=a418f1b3e7bb94977c3470264b8062002ee6aa#topoffer,20,17,20,17,30,5,2
//img.alicdn.com/bao/uploaded/i3/TB1oAa2RXXXXXaFXpXXXXXXXXXX_!!0-item_pic.jpg_48x48.jpg,3,超短裤女夏2017新款高腰韩版宽松显瘦学生热裤潮破洞白色牛仔短裤价格：118,索斐春天旗舰店,41345,37552,1823,//detail.tmall.com/item.htm?id=550768039333,//suofeichuntian.tmall.com,https://sycm.taobao.com/mq/industry/rank/industry.htm?spm=a21ag.7749237.LeftMenu.d343.9RT30T#/?cateId=162205&categoryId=162205&dateRange=2017-06-20%7C2017-06-20&dateRangePre=2017-06-20%7C2017-06-20&dateType=recent1&dateTypePre=day&device=0&devicePre=0&itemDetailType=2&itemId=550768039333&rankTabIndex=1&rankType=2&seller=-1&view=detail,https://s.1688.com/youyuan/collaboration_search.htm?tab=sameDesign&sortType=booked&descendOrder=true&autoSimilarTab=true&fromTaobao=true&fromOfferId=550768039333&key=a418f1b0609d6af4ec2d85ab5140d9aa9c0689#topoffer,3,7,6,2,6,3,3
//img.alicdn.com/bao/uploaded/i1/TB1E.TKRpXXXXX3aVXXXXXXXXXX_!!0-item_pic.jpg_48x48.jpg,4,2017新款高腰牛仔热裤大码学生显瘦韩版百搭宽松阔腿超短裤女夏季价格：45,雅羊人旗舰店,40839,30165,3433,//detail.tmall.com/item.htm?id=548533260006,//yayangren.tmall.com,https://sycm.taobao.com/mq/industry/rank/industry.htm?spm=a21ag.7749237.LeftMenu.d343.4B84GS#/?cateId=162205&categoryId=162205&dateRange=2017-06-20%7C2017-06-20&dateRangePre=2017-06-20%7C2017-06-20&dateType=recent1&dateTypePre=day&device=0&devicePre=0&itemDetailType=2&itemId=548533260006&rankTabIndex=1&rankType=2&seller=-1&view=detail,https://s.1688.com/youyuan/collaboration_search.htm?tab=sameDesign&sortType=booked&descendOrder=true&autoSimilarTab=true&fromTaobao=true&fromOfferId=548533260006&key=a418f14136b1151e6b5c4f16e6108f1a83de9f#topoffer,4,5,5,3,4,2,4
//img.alicdn.com/bao/uploaded/i2/51890615/TB2Eu0Mib_0UKFjy1XaXXbKfXXa_!!51890615.jpg_48x48.jpg,5,2017夏装新款浅色高腰破洞牛仔裤女宽松显瘦九分裤学生薄款阔腿裤价格：129,笨笨的店定制女装,38510,15591,265,//item.taobao.com/item.htm?id=550999698763,//jk-benben.taobao.com,https://sycm.taobao.com/mq/industry/rank/industry.htm?spm=a21ag.7749237.LeftMenu.d343.J3T5Ga#/?cateId=162205&categoryId=162205&dateRange=2017-06-20%7C2017-06-20&dateRangePre=2017-06-20%7C2017-06-20&dateType=recent1&dateTypePre=day&device=0&devicePre=0&itemDetailType=2&itemId=550999698763&rankTabIndex=1&rankType=2&seller=-1&view=detail,https://s.1688.com/youyuan/collaboration_search.htm?tab=sameDesign&sortType=booked&descendOrder=true&autoSimilarTab=true&fromTaobao=true&fromOfferId=550999698763&key=a418f135d106be7141607002b84e6298f75e81#topoffer,2,2,3,4,9,4,5
//img.alicdn.com/bao/uploaded/i2/TB16H0sRXXXXXb4XpXXXXXXXXXX_!!0-item_pic.jpg_48x48.jpg,6,唐狮2017新款宽松牛仔短裤女夏季高腰阔腿牛仔短裤女显瘦韩版学生价格：239,唐狮官方旗舰店,36694,19310,1922,//detail.tmall.com/item.htm?id=530731594218,//tonlion.tmall.com,https://sycm.taobao.com/mq/industry/rank/industry.htm?spm=a21ag.7749237.LeftMenu.d343.0OTiGV#/?cateId=162205&categoryId=162205&dateRange=2017-06-20%7C2017-06-20&dateRangePre=2017-06-20%7C2017-06-20&dateType=recent1&dateTypePre=day&device=0&devicePre=0&itemDetailType=2&itemId=530731594218&rankTabIndex=1&rankType=2&seller=-1&view=detail,https://s.1688.com/youyuan/collaboration_search.htm?tab=sameDesign&sortType=booked&descendOrder=true&autoSimilarTab=true&fromTaobao=true&fromOfferId=530731594218&key=a418f17c50c42b35442ab5b27278b023e78a58#topoffer,99,107,97,31,3,12,6
//img.alicdn.com/bao/uploaded/i1/TB1O46cQVXXXXcvXXXXXXXXXXXX_!!0-item_pic.jpg_48x48.jpg,7,毛边高腰短裤牛仔夏女韩版学生宽松阔腿热裤显瘦2017新款短裤白色价格：168,纪悦旗舰店,36314,21909,1723,//detail.tmall.com/item.htm?id=546026231814,//jiyuenvzhuang.tmall.com,https://sycm.taobao.com/mq/industry/rank/industry.htm?spm=a21ag.7749237.LeftMenu.d343.4BAP8j#/?cateId=162205&categoryId=162205&dateRange=2017-06-20%7C2017-06-20&dateRangePre=2017-06-20%7C2017-06-20&dateType=recent1&dateTypePre=day&device=0&devicePre=0&itemDetailType=2&itemId=546026231814&rankTabIndex=1&rankType=2&seller=-1&view=detail,https://s.1688.com/youyuan/collaboration_search.htm?tab=sameDesign&sortType=booked&descendOrder=true&autoSimilarTab=true&fromTaobao=true&fromOfferId=546026231814&key=a418f16da42f4085e10a27968b44fc5436b63a#topoffer,8,9,9,8,12,6,7
//img.alicdn.com/bao/uploaded/i4/2654802945/TB2NxT3mHBkpuFjy1zkXXbSpFXa_!!2654802945.jpg_48x48.jpg,8,包邮外贸原单 西班牙单时尚任你行 一条穿出大长腿高腰阔腿九分裤价格：59.99,隆隆外贸 2号店 隆隆家,35633,3927,316,//item.taobao.com/item.htm?id=549322197287,//shop135684286.taobao.com,https://sycm.taobao.com/mq/industry/rank/industry.htm?spm=a21ag.7749237.LeftMenu.d343.RQVbIe#/?cateId=162205&categoryId=162205&dateRange=2017-06-20%7C2017-06-20&dateRangePre=2017-06-20%7C2017-06-20&dateType=recent1&dateTypePre=day&device=0&devicePre=0&itemDetailType=2&itemId=549322197287&rankTabIndex=1&rankType=2&seller=-1&view=detail,https://s.1688.com/youyuan/collaboration_search.htm?tab=sameDesign&sortType=booked&descendOrder=true&autoSimilarTab=true&fromTaobao=true&fromOfferId=549322197287&key=a418f153cb382b5dc2a82230799da6b06b8e93#topoffer,14,31,21,13,27,7,8
//img.alicdn.com/bao/uploaded/i1/TB1QsOcRVXXXXXUXFXXXXXXXXXX_!!0-item_pic.jpg_48x48.jpg,9,玛玛绨2017夏季新款黑色牛仔裤韩版宽松阔腿显瘦高腰休闲短裤女潮价格：178,maxmartin玛玛绨旗舰店,34840,22428,1359,//detail.tmall.com/item.htm?id=531714152188,//maxmartin.tmall.com,https://sycm.taobao.com/mq/industry/rank/industry.htm?spm=a21ag.7749237.LeftMenu.d343.hgYXbY#/?cateId=162205&categoryId=162205&dateRange=2017-06-20%7C2017-06-20&dateRangePre=2017-06-20%7C2017-06-20&dateType=recent1&dateTypePre=day&device=0&devicePre=0&itemDetailType=2&itemId=531714152188&rankTabIndex=1&rankType=2&seller=-1&view=detail,https://s.1688.com/youyuan/collaboration_search.htm?tab=sameDesign&sortType=booked&descendOrder=true&autoSimilarTab=true&fromTaobao=true&fromOfferId=531714152188&key=a418f1af76b44c53e9e8bc9b278125ad9b4bb6#topoffer,104,74,74,37,26,10,9
//img.alicdn.com/bao/uploaded/i3/TB1C7O_QXXXXXcwXVXXXXXXXXXX_!!0-item_pic.jpg_48x48.jpg,10,夏季白色牛仔短裤女高腰排扣宽松学生破洞毛边阔腿裤弹力显瘦热裤价格：168,简芭朵旗舰店,34435,16377,1808,//detail.tmall.com/item.htm?id=546551937215,//jianbaduo.tmall.com,https://sycm.taobao.com/mq/industry/rank/industry.htm?spm=a21ag.7749237.LeftMenu.d343.3LMeiM#/?cateId=162205&categoryId=162205&dateRange=2017-06-20%7C2017-06-20&dateRangePre=2017-06-20%7C2017-06-20&dateType=recent1&dateTypePre=day&device=0&devicePre=0&itemDetailType=2&itemId=546551937215&rankTabIndex=1&rankType=2&seller=-1&view=detail,https://s.1688.com/youyuan/collaboration_search.htm?tab=sameDesign&sortType=booked&descendOrder=true&autoSimilarTab=true&fromTaobao=true&fromOfferId=546551937215&key=a418f1bee788af5e1d016f2b0b20facfbeb49a#topoffer,11,10,13,15,21,11,10
