排名,搜索词,相关搜索词数,搜索人气,词均搜索增长幅度,点击人气,支付转化率,直通车参考价,日期：20170613,日期：20170614,日期：20170615,日期：20170616,日期：20170617,日期：20170618,日期：20170619
1,吊带,6,979,1.3333,642,0.0105,0.27,,,,,583,1675,642
2,套装,149,7193,-1.2953,4098,0.0139,1.05,2410,2429,2885,2825,4663,6267,4098
3,夏装,226,7488,-2.0796,5219,0.0707,1.8,4412,3544,5183,4763,6379,7393,5219
4,牛,263,9222,-2.981,6089,0.0482,1.6,5583,5917,6072,7216,7007,8930,6089
5,裤衩,6,499,-3.3333,265,0.069,0.87,,,272,531,,326,265
6,马裤,82,6500,-4.1341,4519,0.041,1.5,4608,2374,3259,2713,6678,4797,4519
7,连体裤,12,1358,-4.3333,983,0.0287,0.61,647,940,1821,,499,3235,983
8,女裤,597,15071,-4.7487,10409,0.0403,2.66,10519,9193,8379,8495,11753,13271,10409
9,刺绣,310,12379,-5.2742,9129,0.0511,1.27,8305,8354,7601,8599,8610,12331,9129
10,女装,1077,24945,-5.4448,16629,0.0448,2.12,13968,14860,15421,14282,16992,21338,16629
11,五分裤,599,20230,-7.3122,14284,0.0562,1.58,13057,11767,11536,12861,14312,16929,14284
12,长裤,1579,35458,-7.836,25750,0.057,1.87,24888,25197,24629,25504,27830,30699,25750
13,七分裤,1578,37995,-8.3302,27275,0.0653,4.1,26697,25978,27299,25740,26639,29829,27275
14,裤,7121,100796,-10.2481,73776,0.0454,2.68,70653,67835,68745,69078,75069,84389,73776
15,背带裤,2858,61414,-11.5854,44776,0.0332,2.56,45401,45716,42474,45428,62243,73447,44776
16,裤子,3850,68398,-12.2348,47521,0.0423,2.4,47490,39889,44067,48203,55064,63089,47521
17,牛仔裤,17466,187806,-13.3363,138494,0.0532,6.08,138074,134095,133262,133196,143724,159588,138494
18,热裤,1428,42952,-13.5175,32201,0.0768,2.91,32642,30890,30112,30444,33454,38080,32201
19,背带,1514,58663,-16.8111,44059,0.0415,2.56,42518,41723,41179,43155,48922,52289,44059
20,喇叭裤,727,34962,-17.3851,26040,0.0431,3.14,19676,21882,19849,19258,23539,30993,26040
21,超短裤,1073,47516,-23.3225,35574,0.0823,1.18,34699,33658,32924,34241,39191,43186,35574
22,短裤,18874,283890,-24.5067,211442,0.0686,3.74,184237,191480,194458,203578,219285,248385,211442
