排名,搜索词,相关搜索词数,搜索人气,词均搜索增长幅度,点击人气,支付转化率,直通车参考价,日期：20170615,日期：20170616,日期：20170617,日期：20170618,日期：20170619,日期：20170620,日期：20170621
1,牛,219,7383,1.9589,4825,0.04,1.22,14,18,19,17,4,19,1
2,渔网,7,695,1.5714,466,0.0984,0.92,,,,22,,,2
3,刺绣,214,10122,0.6449,7317,0.047,1.4,20,7,16,12,9,9,3
4,马裤,57,3418,0.5789,2167,0.0623,1.36,21,11,5,24,6,3,4
5,夏装,190,7862,0.4526,5708,0.0637,1.31,7,9,18,19,3,4,5
6,裤子,3627,62141,0.2669,42758,0.0399,2.03,13,5,6,16,16,7,6
7,套装,160,8277,0.1625,5017,0.0169,2.36,5,6,20,13,2,1,7
8,五分裤,572,21284,0.1084,15203,0.0483,2.32,6,12,13,14,11,2,8
9,女装,906,21670,-0.1689,14292,0.0344,1.57,4,16,17,8,10,13,9
10,喇叭裤,683,31350,-0.388,23577,0.0403,1.48,19,8,12,7,20,17,10
11,热裤,1309,40924,-0.5095,30552,0.074,2.15,12,15,7,3,18,16,11
12,女裤,470,12646,-0.5426,8518,0.0409,2.14,8,20,10,15,8,14,12
13,长裤,1455,33601,-0.868,24660,0.0506,2.17,11,14,14,11,12,8,13
14,裤,6602,98511,-0.9176,71645,0.0404,3.81,17,10,9,10,14,15,14
15,七分裤,1503,35593,-1.0486,25438,0.0631,2.39,10,19,15,9,13,6,15
16,超短裤,1048,46557,-1.5744,34593,0.079,1.93,18,2,1,2,21,21,16
17,背带裤,2702,62503,-1.9593,45392,0.0292,1.62,9,4,3,5,15,18,17
18,牛仔裤,16137,174738,-2.3294,128522,0.0475,4.06,15,13,8,6,17,20,18
19,背带,1435,57570,-4.3909,43188,0.038,1.43,3,3,4,4,19,22,19
20,短裤,17984,279399,-5.3266,207644,0.0644,4.04,2,1,2,1,22,10,20
