排名,搜索词,相关搜索词数,搜索人气,词均搜索增长幅度,点击人气,支付转化率,直通车参考价,日期：20170620,日期：20170621,日期：20170622,日期：20170623,日期：20170624,日期：20170625,日期：20170626
1,马裤,38,2209,1.6053,1401,0.0479,1.21,4392,3418,3584,4512,4468,3729,2209
2,连体裤,12,1433,-0.4167,1116,0.0191,0.57,1030,,1481,1955,2267,2655,1433
3,刺绣,289,11634,-0.4706,8632,0.0475,1.25,11515,10122,9470,9387,9845,10418,11634
4,女装,869,20329,-0.9264,13537,0.0376,3.16,25095,21670,22250,21065,20876,22596,20329
5,背带裤,3074,65420,-1.204,48639,0.03,1.56,65474,62503,61140,63381,73331,94566,65420
6,牛,216,8326,-1.463,5646,0.0456,1.37,6381,7383,8082,7223,8441,10317,8326
7,女裤,354,11532,-1.5847,7883,0.0372,3.02,18809,12646,17441,11372,12537,12890,11532
8,吊带,6,425,-1.6667,236,0,0.48,1368,,431,,,841,425
9,五分裤,576,18462,-1.8212,12928,0.0513,1.57,21199,21284,17090,19163,22133,22654,18462
10,套装,139,8090,-2.0863,4982,0.0234,0.83,7517,8277,4504,5889,5324,5137,8090
11,长裤,1472,32984,-2.5353,24095,0.0451,1.9,35741,33601,33761,33782,33299,34252,32984
12,夏装,209,7446,-2.6172,5122,0.05,0.82,6510,7862,5968,5752,7525,8787,7446
13,喇叭裤,633,22687,-3.2196,17161,0.037,1.53,22965,31350,26925,20940,27741,30944,22687
14,热裤,1262,39473,-3.2528,29996,0.0674,1.78,41695,40924,39563,37283,39892,42004,39473
15,七分裤,1412,36163,-3.5397,25944,0.0596,3.26,35718,35593,36110,33046,35326,49208,36163
16,裤,6749,93074,-3.7942,68327,0.0406,2.66,96168,98511,93559,95052,99749,101780,93074
17,背带,1519,59063,-4.4924,44916,0.0377,1.58,60743,57570,57398,50762,56419,60006,59063
18,短裤,18188,274945,-5.5576,206032,0.064,4.83,286235,279399,269999,252641,274497,292136,274945
19,牛仔裤,15968,188285,-5.8269,136354,0.0485,4.65,183165,174738,179118,189273,183629,187135,188285
20,裤子,3748,76587,-5.9947,48802,0.0291,3.06,67368,62141,62750,62145,71851,81530,76587
21,渔网,6,623,-6.6667,437,0.0357,1.01,,695,695,662,754,837,623
22,超短裤,1077,45993,-9.8932,34447,0.073,1.62,47438,46557,45257,45524,48098,48771,45993
