热销排名,商品信息,所属店铺,支付子订单数,交易增长幅度,支付转化率指数,日期：20170628,日期：20170629,日期：20170630,日期：20170701,日期：20170702,日期：20170703,日期：20170704
1,2017新款高腰牛仔大码胖mm学生显瘦韩版百搭宽松阔腿超短裤女夏季价格：45,雅羊人旗舰店,3174,-0.0025,216,2,1,1,2,2,2,1
2,韩版直筒宽松大码破洞牛仔裤女长裤韩国小脚九分哈伦裤学生春夏款价格：128,深一渡旗舰店,2617,-0.0421,217,,,86,18,5,3,2
3,夏季学生韩版胖mm五分裤牛仔短裤高腰新款阔腿大码宽松显瘦女2017价格：289,茜思语旗舰店,2426,8.7183,176,,,,329,277,338,3
4,牛仔短裤女2017夏新款韩版高腰显瘦a字裤子宽松阔腿热裤刺绣裤裙价格：298,皇袍旗舰店,2349,-0.0616,182,9,4,2,6,4,4,4
5,短裤女夏2017新款气质高腰韩版宽松显瘦学生热裤潮破洞白色牛仔裤价格：198,娜诗恋旗舰店,1963,-0.0296,221,25,16,18,16,11,6,5
6,夏季白色牛仔短裤女高腰排扣宽松学生破洞毛边阔腿裤弹力显瘦热裤价格：168,简芭朵旗舰店,1914,-0.064,177,10,5,10,10,10,5,6
7,白色牛仔短裤女夏韩版2017新款a字超短裤裙宽松高腰大码阔腿热裤价格：298,野田妹旗舰店,1824,-0.0194,143,4,3,4,9,8,8,7
8,牛仔超短裤女夏2017新款高腰流行韩版百搭显瘦便宜破洞白色热裤子价格：298,安玖服饰专营店,1782,-0.0141,187,19,15,15,11,7,10,8
9,夏装女装韩版高腰阔腿裤宽松显瘦毛边缺口白色牛仔裤短裤学生热裤价格：29.98,可可里小姐,1562,0.078,161,11,8,13,14,14,14,9
10,超短裤女夏季韩版宽松百搭毛边高腰显瘦阔腿学生破洞牛仔裤热裤潮价格：19.98,HL哈喽妹妹,1540,-0.0452,162,17,13,17,13,12,12,10
11,高腰牛仔短裤女刺绣花破洞卷边2017夏季新款薄白色毛边学生女热裤价格：338,惜遇旗舰店,1395,-0.8411,176,,,,,,1,11
12,毛边高腰短裤牛仔夏女韩版学生宽松阔腿热裤显瘦2017新款短裤白色价格：168,纪悦旗舰店,1285,-0.019,182,14,10,14,20,18,17,12
