热销排名,商品信息,所属店铺,支付子订单数,支付件数,支付转化率指数,店铺链接,日期：20170726,日期：20170727,日期：20170728,日期：20170729,日期：20170730,日期：20170731,日期：20170801,日期：20170802,日期：20170803,日期：20170804,日期：20170805,日期：20170806,日期：20170807,日期：20170808
1,天天特价春夏季休闲哈伦裤bf宽松高腰九分破洞牛仔裤女显瘦乞丐裤价格：699,韩轩儿服饰0,1800,1801,19,//shop107259984.taobao.com,,,,,,,,,,,,,,3
2,高腰牛仔裤女九分裤秋装2017春夏季新款韩版显瘦小脚长裤铅笔裤子价格：128,爱斯麦乐驹专卖店,933,942,16,//aisimylj.tmall.com,63,52,52,22,19,27,15,22,26,20,31,27,25,11
3,高腰牛仔裤女九分裤春夏季2017新款韩版破洞铅笔裤黑色小脚长裤子价格：99,本真之美旗舰店,754,756,15,//benzhenzhimei.tmall.com,80,54,54,49,91,83,77,93,82,99,87,35,36,21
4,8.8日直播 经典返场 丝袜牛仔裤 【会员日专享】限1天价格：109,猴哥定制 MONKEY STUDIO,750,756,39,//leoshizizuo.taobao.com,,,,,,,,,,,,,,22
5,森马牛仔裤女 长裤夏装修身小脚显瘦百搭水洗直筒裤子学生韩版潮价格：179,森马官方旗舰店,750,777,26,//semir.tmall.com,499,,,205,173,313,401,453,458,408,,,,22
6,高腰牛仔裤女修身显瘦新款九分裤百搭个性2017春装韩版小脚裤子潮价格：169,ledao服饰旗舰店,574,574,22,//ledaofs.tmall.com,444,,,,,,89,144,324,,,,,36
7,2017百搭新款破洞牛仔短裤女夏季弹力热裤学生显瘦韩版毛边短裤潮价格：78,《韩美》,520,528,21,//shop112753329.taobao.com,32,48,48,31,24,33,35,38,45,43,51,38,51,27
8,新款高腰黑色显瘦卷边牛仔裤女韩版春夏季百搭女士九分铅笔小脚裤价格：198,绒懿旗舰店,509,513,17,//rongyinvzhuang.tmall.com,121,79,79,44,46,45,39,48,46,35,56,47,39,44
9,陈艾佳 C&#39;est Parti 2017秋新款韩版高腰显瘦黑色铅笔牛仔裤女价格：179,C est Parti陈艾佳的时髦实验室,491,494,32,//cestparti.taobao.com,,,,,,,,,,,,,,49
10,韩版高腰牛仔裤女小脚长裤春夏季2017新款紧身显瘦学生薄款九分裤价格：169,依情蜜语,470,477,16,//pwp1.taobao.com,215,135,135,82,86,100,58,71,60,60,84,72,59,51
11,夏季薄款浅蓝色高腰破洞牛仔裤女九分裤紧身小脚裤弹力毛边铅笔裤价格：128,以耶旗舰店,452,453,12,//yiye.tmall.com,199,399,399,190,190,159,149,126,124,108,87,70,60,55
12,2条装】破洞牛仔裤女夏2017新款韩版显瘦高腰小脚铅笔黑色九分裤价格：299,香舒婷旗舰店,383,470,17,//xiangshuting.tmall.com,409,300,300,304,433,389,421,,,153,107,78,63,73
