热销排名,商品信息,所属店铺,支付子订单数,交易增长幅度,支付转化率指数,店铺链接,日期：20170802,日期：20170803,日期：20170804,日期：20170805,日期：20170806,日期：20170807,日期：20170808
1,短裤女夏2017新款漂亮大码高腰韩版宽松百搭胖mm白色热裤潮牛仔裤 价格：298,欣嘉霓旗舰店,2891,-0.0532,232,//xinjiani.tmall.com,9,5,9,16,2,4,1
2,韩版直筒宽松大码破洞牛仔裤女长裤韩国小脚九分哈伦裤学生春夏款 价格：128,深一渡旗舰店,2492,11.2335,155,//shenyidufs.tmall.com,,,2,7,8,287,2
3,短裤女夏2017新款气质高腰韩版宽松显瘦学生热裤潮破洞白色牛仔裤 价格：198,娜诗恋旗舰店,1978,-0.1459,214,//nashilian.tmall.com,4,2,1,3,3,6,3
4,天天特价春夏季休闲哈伦裤bf宽松高腰九分破洞牛仔裤女显瘦乞丐裤 价格：699,韩轩儿服饰0,1800,0,187,//shop107259984.taobao.com,,,,,,,4
5,damostudio早秋新款 做旧水洗毛边直筒九分裤 高腰全棉牛仔裤女 价格：158,DAMOSTUDIO,1758,0,368,//damostudio.taobao.com,,,,,,,5
6,限预特】高端自制你们要求的418回馈价我答应啦神裤阔腿牛仔2色 价格：558,美女的大衣柜 echo2434,1644,0,323,//echo2434.taobao.com,,,,,,,6
7,牛仔裤女春夏季2017新款薄款高腰显瘦八分阔腿裤毛边九分微喇叭裤 价格：138,蒙奴莎旗舰店,1322,0.2887,131,//mengnusha.tmall.com,50,49,29,22,17,18,7
8,牛仔短裤女夏2017新款韩版百搭高腰松紧腰宽松大码胖mm阔腿五分裤 价格：299,贝莎莱旗舰店,1251,-0.0765,186,//beishalai.tmall.com,,,,,4,10,8
9,2017新款高腰牛仔大码胖mm学生显瘦韩版百搭宽松阔腿超短裤女夏季 价格：45,雅羊人旗舰店,1174,-0.1381,208,//yayangren.tmall.com,7,6,6,6,5,9,9
10,高腰牛仔短裤女夏季学生白色破洞毛边韩版宽松超短裤百搭阔腿热裤 价格：129,个性宣言旗舰店,1089,85.7227,161,//selfhoodenounce.tmall.com,,,,,,,10
11,牛仔短裤女2017夏新款韩版高腰显瘦a字裤子宽松阔腿热裤松紧裤裙 价格：298,皇袍旗舰店,1075,-0.1409,184,//huangpao.tmall.com,11,7,7,8,7,11,11
12,牛仔超短裤女夏2017新款高腰流行韩版百搭显瘦便宜破洞白色热裤子 价格：298,安玖服饰专营店,1069,0.0043,194,//anjiufs.tmall.com,33,41,10,9,9,16,12
