主图缩略图,热销排名,商品信息,所属店铺,流量指数,搜索人气,支付子订单数,宝贝链接,店铺链接,查看详情,同款货源,日期：20170609,日期：20170610,日期：20170611,日期：20170612,日期：20170613,日期：20170614,日期：20170615
//img.alicdn.com/bao/uploaded/i2/TB1ALQhQVXXXXcVXFXXXXXXXXXX_!!0-item_pic.jpg_48x48.jpg,1,2017新款春夏装背带裤短裤宽松森女裤子可爱小清新休闲运动连体裤价格：105,戚米旗舰店,50860,16317,268,//detail.tmall.com/item.htm?id=550022157813,//qimi.tmall.com,https://sycm.taobao.com/mq/industry/rank/industry.htm?spm=a21ag.7749237.LeftMenu.d343.iYWK6c#/?cateId=162205&categoryId=162205&dateRange=2017-06-15%7C2017-06-15&dateRangePre=2017-06-15%7C2017-06-15&dateType=recent1&dateTypePre=day&device=0&devicePre=0&itemDetailType=2&itemId=550022157813&rankTabIndex=1&rankType=2&seller=-1&view=detail,https://s.1688.com/youyuan/collaboration_search.htm?tab=sameDesign&sortType=booked&descendOrder=true&autoSimilarTab=true&fromTaobao=true&fromOfferId=550022157813&key=04f91ccc1167d5ffd6c9d695798feb8658356b#topoffer,2,3,3,1,1,1,1
//img.alicdn.com/bao/uploaded/i2/51890615/TB2Eu0Mib_0UKFjy1XaXXbKfXXa_!!51890615.jpg_48x48.jpg,2,2017夏装新款浅色高腰破洞牛仔裤女宽松显瘦九分裤学生薄款阔腿裤价格：129,笨笨的店定制女装,41131,15865,365,//item.taobao.com/item.htm?id=550999698763,//jk-benben.taobao.com,https://sycm.taobao.com/mq/industry/rank/industry.htm?spm=a21ag.7749237.LeftMenu.d343.CbYNLQ#/?cateId=162205&categoryId=162205&dateRange=2017-06-15%7C2017-06-15&dateRangePre=2017-06-15%7C2017-06-15&dateType=recent1&dateTypePre=day&device=0&devicePre=0&itemDetailType=2&itemId=550999698763&rankTabIndex=1&rankType=2&seller=-1&view=detail,https://s.1688.com/youyuan/collaboration_search.htm?tab=sameDesign&sortType=booked&descendOrder=true&autoSimilarTab=true&fromTaobao=true&fromOfferId=550999698763&key=04f91c35d106be7141607002b84e6298f75e81#topoffer,5,4,1,2,3,2,2
//img.alicdn.com/bao/uploaded/i1/TB1SrkjQFXXXXXQXXXXXXXXXXXX_!!0-item_pic.jpg_48x48.jpg,3,薄款牛仔裤女春夏季2017新款高腰显瘦八分阔腿裤毛边九分微喇叭裤价格：138,蒙奴莎旗舰店,39395,15150,1173,//detail.tmall.com/item.htm?id=547938524095,//mengnusha.tmall.com,https://sycm.taobao.com/mq/industry/rank/industry.htm?spm=a21ag.7749237.LeftMenu.d343.gDB8T6#/?cateId=162205&categoryId=162205&dateRange=2017-06-15%7C2017-06-15&dateRangePre=2017-06-15%7C2017-06-15&dateType=recent1&dateTypePre=day&device=0&devicePre=0&itemDetailType=2&itemId=547938524095&rankTabIndex=1&rankType=2&seller=-1&view=detail,https://s.1688.com/youyuan/collaboration_search.htm?tab=sameDesign&sortType=booked&descendOrder=true&autoSimilarTab=true&fromTaobao=true&fromOfferId=547938524095&key=04f91c643a55227fbc72a8ad1fe6dba926d147#topoffer,24,19,27,25,21,21,3
//img.alicdn.com/bao/uploaded/i3/TB1K16URpXXXXaAXpXXYXGcGpXX_M2.SS2_48x48.jpg,4,毛边牛仔短裤女夏2017新款高腰韩版白色阔腿胖mm宽松大码a字热裤价格：98,欣嘉霓旗舰店,38350,17808,2635,//detail.tmall.com/item.htm?id=552064913304,//xinjiani.tmall.com,https://sycm.taobao.com/mq/industry/rank/industry.htm?spm=a21ag.7749237.LeftMenu.d343.E2GQ81#/?cateId=162205&categoryId=162205&dateRange=2017-06-15%7C2017-06-15&dateRangePre=2017-06-15%7C2017-06-15&dateType=recent1&dateTypePre=day&device=0&devicePre=0&itemDetailType=2&itemId=552064913304&rankTabIndex=1&rankType=2&seller=-1&view=detail,https://s.1688.com/youyuan/collaboration_search.htm?tab=sameDesign&sortType=booked&descendOrder=true&autoSimilarTab=true&fromTaobao=true&fromOfferId=552064913304&key=04f91c65ca64c47ad5f29d44eb70fd2c86232a#topoffer,410,272,147,89,60,26,4
//img.alicdn.com/bao/uploaded/i1/TB1E.TKRpXXXXX3aVXXXXXXXXXX_!!0-item_pic.jpg_48x48.jpg,5,2017新款高腰牛仔热裤大码学生显瘦韩版百搭宽松阔腿超短裤女夏季价格：45,雅羊人旗舰店,37749,28338,2952,//detail.tmall.com/item.htm?id=548533260006,//yayangren.tmall.com,https://sycm.taobao.com/mq/industry/rank/industry.htm?spm=a21ag.7749237.LeftMenu.d343.T4OVaa#/?cateId=162205&categoryId=162205&dateRange=2017-06-15%7C2017-06-15&dateRangePre=2017-06-15%7C2017-06-15&dateType=recent1&dateTypePre=day&device=0&devicePre=0&itemDetailType=2&itemId=548533260006&rankTabIndex=1&rankType=2&seller=-1&view=detail,https://s.1688.com/youyuan/collaboration_search.htm?tab=sameDesign&sortType=booked&descendOrder=true&autoSimilarTab=true&fromTaobao=true&fromOfferId=548533260006&key=04f91c4136b1151e6b5c4f16e6108f1a83de9f#topoffer,3,1,2,4,6,4,5
//img.alicdn.com/bao/uploaded/i3/TB1ncB.RpXXXXbKaXXXXXXXXXXX_!!0-item_pic.jpg_48x48.jpg,6,高腰牛仔短裤女夏天2017新款韩版百搭学生宽松显瘦刺绣阔腿热裤子价格：198,8号仓服饰旗舰店,37305,6493,721,//detail.tmall.com/item.htm?id=551567515315,//bahaocang.tmall.com,https://sycm.taobao.com/mq/industry/rank/industry.htm?spm=a21ag.7749237.LeftMenu.d343.JP9B8R#/?cateId=162205&categoryId=162205&dateRange=2017-06-15%7C2017-06-15&dateRangePre=2017-06-15%7C2017-06-15&dateType=recent1&dateTypePre=day&device=0&devicePre=0&itemDetailType=2&itemId=551567515315&rankTabIndex=1&rankType=2&seller=-1&view=detail,https://s.1688.com/youyuan/collaboration_search.htm?tab=sameDesign&sortType=booked&descendOrder=true&autoSimilarTab=true&fromTaobao=true&fromOfferId=551567515315&key=04f91ce27ffe698f36370aaa9dba94584074b3#topoffer,144,47,29,23,20,5,6
//img.alicdn.com/bao/uploaded/i3/TB1oAa2RXXXXXaFXpXXXXXXXXXX_!!0-item_pic.jpg_48x48.jpg,7,超短裤女夏2017新款高腰韩版宽松显瘦学生热裤潮破洞白色牛仔短裤价格：118,索斐春天旗舰店,36946,33199,1257,//detail.tmall.com/item.htm?id=550768039333,//suofeichuntian.tmall.com,https://sycm.taobao.com/mq/industry/rank/industry.htm?spm=a21ag.7749237.LeftMenu.d343.QhbbJf#/?cateId=162205&categoryId=162205&dateRange=2017-06-15%7C2017-06-15&dateRangePre=2017-06-15%7C2017-06-15&dateType=recent1&dateTypePre=day&device=0&devicePre=0&itemDetailType=2&itemId=550768039333&rankTabIndex=1&rankType=2&seller=-1&view=detail,https://s.1688.com/youyuan/collaboration_search.htm?tab=sameDesign&sortType=booked&descendOrder=true&autoSimilarTab=true&fromTaobao=true&fromOfferId=550768039333&key=04f91cb0609d6af4ec2d85ab5140d9aa9c0689#topoffer,4,2,4,3,5,3,7
//img.alicdn.com/bao/uploaded/i3/TB1jH7ERFXXXXc3XpXXXXXXXXXX_!!0-item_pic.jpg_48x48.jpg,8,17新韩版宽松毛边无破洞高腰牛仔短裤女夏薄款阔腿裤修身热裤裤子价格：108.9,DCSH多彩生活牛仔潮店 12年老店,36564,4844,779,//item.taobao.com/item.htm?id=549623944531,//kk91.taobao.com,https://sycm.taobao.com/mq/industry/rank/industry.htm?spm=a21ag.7749237.LeftMenu.d343.BDfRBP#/?cateId=162205&categoryId=162205&dateRange=2017-06-15%7C2017-06-15&dateRangePre=2017-06-15%7C2017-06-15&dateType=recent1&dateTypePre=day&device=0&devicePre=0&itemDetailType=2&itemId=549623944531&rankTabIndex=1&rankType=2&seller=-1&view=detail,https://s.1688.com/youyuan/collaboration_search.htm?tab=sameDesign&sortType=booked&descendOrder=true&autoSimilarTab=true&fromTaobao=true&fromOfferId=549623944531&key=04f91cb135947a09dd1101e6c6031311afc05b#topoffer,,,68,91,238,185,8
//img.alicdn.com/bao/uploaded/i1/TB1O46cQVXXXXcvXXXXXXXXXXXX_!!0-item_pic.jpg_48x48.jpg,9,毛边高腰短裤牛仔夏女韩版学生宽松阔腿热裤显瘦2017新款短裤白色价格：168,纪悦旗舰店,33782,19702,1745,//detail.tmall.com/item.htm?id=546026231814,//jiyuenvzhuang.tmall.com,https://sycm.taobao.com/mq/industry/rank/industry.htm?spm=a21ag.7749237.LeftMenu.d343.deR3X8#/?cateId=162205&categoryId=162205&dateRange=2017-06-15%7C2017-06-15&dateRangePre=2017-06-15%7C2017-06-15&dateType=recent1&dateTypePre=day&device=0&devicePre=0&itemDetailType=2&itemId=546026231814&rankTabIndex=1&rankType=2&seller=-1&view=detail,https://s.1688.com/youyuan/collaboration_search.htm?tab=sameDesign&sortType=booked&descendOrder=true&autoSimilarTab=true&fromTaobao=true&fromOfferId=546026231814&key=04f91c6da42f4085e10a27968b44fc5436b63a#topoffer,8,8,7,5,9,8,9
//img.alicdn.com/bao/uploaded/i3/TB1C7O_QXXXXXcwXVXXXXXXXXXX_!!0-item_pic.jpg_48x48.jpg,10,夏季白色牛仔短裤女高腰排扣宽松学生破洞毛边阔腿裤弹力显瘦热裤价格：168,简芭朵旗舰店,33327,16384,1616,//detail.tmall.com/item.htm?id=546551937215,//jianbaduo.tmall.com,https://sycm.taobao.com/mq/industry/rank/industry.htm?spm=a21ag.7749237.LeftMenu.d343.KZAHVd#/?cateId=162205&categoryId=162205&dateRange=2017-06-15%7C2017-06-15&dateRangePre=2017-06-15%7C2017-06-15&dateType=recent1&dateTypePre=day&device=0&devicePre=0&itemDetailType=2&itemId=546551937215&rankTabIndex=1&rankType=2&seller=-1&view=detail,https://s.1688.com/youyuan/collaboration_search.htm?tab=sameDesign&sortType=booked&descendOrder=true&autoSimilarTab=true&fromTaobao=true&fromOfferId=546551937215&key=04f91cbee788af5e1d016f2b0b20facfbeb49a#topoffer,10,9,8,8,15,11,10
