排名,搜索词,相关搜索词数,搜索人气,词均搜索增长幅度,点击人气,支付转化率,直通车参考价,日期：20170608,日期：20170609,日期：20170610,日期：20170611,日期：20170612,日期：20170613,日期：20170614
1,马裤,54,3729,2.0926,2374,0.0464,0.96,3,9,17,21,12,16,1
2,长裤,1522,34892,1.753,25197,0.0472,2.34,19,13,8,16,5,2,2
3,连体裤,12,1292,1.75,940,0.0184,1.1,7,10,22,18,2,6,3
4,刺绣,251,11541,1.3506,8354,0.0524,1.67,17,14,21,8,7,14,4
5,裤,6810,94490,1.3474,67835,0.0395,4.56,15,12,7,17,13,9,5
6,背带,1397,56719,1.32,41723,0.0359,1.66,2,2,4,22,16,1,6
7,牛,210,8777,1.1333,5917,0.0427,1.78,14,20,18,5,3,10,7
8,背带裤,2603,63245,0.9969,45716,0.0304,2.05,16,4,1,14,18,7,8
9,裤子,3505,58680,0.8696,39889,0.0383,2.27,18,7,6,2,19,15,9
10,夏装,163,5434,0.5767,3544,0.065,1.21,6,15,14,15,8,12,10
11,七分裤,1509,36246,0.4506,25978,0.0629,3.9,8,17,12,13,10,18,11
12,套装,101,4101,0.4455,2429,0.0254,0.96,9,16,13,20,6,5,12
13,女裤,486,13604,0.1934,9193,0.0374,2.62,10,19,16,11,4,3,13
14,短裤,16875,263678,0.0362,191480,0.0607,4.56,4,3,3,1,21,19,14
15,女装,808,22853,-0.1609,14860,0.0334,1.7,13,18,19,7,9,11,15
16,五分裤,467,16784,-0.2184,11767,0.0469,1.3,5,11,15,9,14,17,16
17,喇叭裤,696,30052,-0.3448,21882,0.037,1.77,21,8,10,10,11,13,17
18,热裤,1347,42249,-1.0007,30890,0.0712,2.07,11,6,9,4,17,20,18
19,牛仔裤,17417,186799,-1.142,134095,0.0441,5.59,20,5,11,12,15,4,19
20,超短裤,997,46162,-2.7061,33658,0.0731,1.77,12,1,2,3,20,22,20
