排名,搜索词,相关搜索词数,搜索人气,词均搜索增长幅度,点击人气,支付转化率,直通车参考价,日期：20170613,日期：20170614,日期：20170615,日期：20170616,日期：20170617,日期：20170618,日期：20170619
1,吊带,6,979,1.3333,642,0.0105,0.27,,,,,4.5,2.75,1.3333
2,套装,149,7193,-1.2953,4098,0.0139,1.05,1.5934,0.4455,1.7391,3.3146,1.2865,5.2038,-1.2953
3,夏装,226,7488,-2.0796,5219,0.0707,1.8,0.1989,0.5767,1.5976,1.7644,2.8134,2.9688,-2.0796
4,牛,263,9222,-2.981,6089,0.0482,1.6,0.4688,1.1333,0.3391,0.2889,1.6637,4.2122,-2.981
5,裤衩,6,499,-3.3333,265,0.069,0.87,,,4.6667,1,,4,-3.3333
6,马裤,82,6500,-4.1341,4519,0.041,1.5,-0.5192,2.0926,-1.4571,1.5152,8.8554,2.2179,-4.1341
7,连体裤,12,1358,-4.3333,983,0.0287,0.61,1.5,1.75,0.2,,0,2.898,-4.3333
8,女裤,597,15071,-4.7487,10409,0.0403,2.66,2.0054,0.1934,0.9234,0.0724,4.5071,5.0635,-4.7487
9,刺绣,310,12379,-5.2742,9129,0.0511,1.27,-0.1503,1.3506,-0.2652,2.0733,3.5861,5.3423,-5.2742
10,女装,1077,24945,-5.4448,16629,0.0448,2.12,0.2873,-0.1609,2.1731,1.0977,3.3552,8.2573,-5.4448
11,五分裤,599,20230,-7.3122,14284,0.0562,1.58,-0.57,-0.2184,1.6559,1.4789,4.365,5.1247,-7.3122
12,长裤,1579,35458,-7.836,25750,0.057,1.87,2.5291,1.753,0.7221,1.3843,3.7497,5.7497,-7.836
13,七分裤,1578,37995,-8.3302,27275,0.0653,4.1,-1.4533,0.4506,0.7463,0.1277,3.6678,6.6648,-8.3302
14,裤,7121,100796,-10.2481,73776,0.0454,2.68,0.5297,1.3474,0.0965,1.5468,4.9105,6.2404,-10.2481
15,背带裤,2858,61414,-11.5854,44776,0.0332,2.56,1.1806,0.9969,0.9216,3.9923,12.0624,9.2591,-11.5854
16,裤子,3850,68398,-12.2348,47521,0.0423,2.4,-0.4597,0.8696,0.6814,3.621,7.8673,4.9065,-12.2348
17,牛仔裤,17466,187806,-13.3363,138494,0.0532,6.08,1.9984,-1.142,0.2968,1.3979,5.9219,8.5,-13.3363
18,热裤,1428,42952,-13.5175,32201,0.0768,2.91,-4.2896,-1.0007,0.7165,1.3085,6.0711,9.4516,-13.5175
19,背带,1514,58663,-16.8111,44059,0.0415,2.56,4.3139,1.32,4.0072,4.021,9.7016,9.2994,-16.8111
20,喇叭裤,727,34962,-17.3851,26040,0.0431,3.14,0.1605,-0.3448,0.014,1.9402,4.3962,8.462,-17.3851
21,超短裤,1073,47516,-23.3225,35574,0.0823,1.18,-7.067,-2.7061,0.0171,4.3349,13.1057,12.02,-23.3225
22,短裤,18874,283890,-24.5067,211442,0.0686,3.74,-4.1317,0.0362,4.1674,5.3351,12.7284,17.0236,-24.5067
