排名,搜索词,相关搜索词数,搜索人气,词均搜索增长幅度,点击人气,支付转化率,直通车参考价,日期：20170719,日期：20170720,日期：20170721,日期：20170722,日期：20170723,日期：20170724,日期：20170725,日期：20170726,日期：20170727,日期：20170728,日期：20170729,日期：20170730,日期：20170731,日期：20170801
1,秋装,7,598,2.2857,419,0,0.76,,,,,,,,,,,3.64,1.1429,0.8462,2.2857
2,牛仔裤,18212,222950,1.785,162260,0.0403,5.07,0.5961,1.2785,1.2996,2.9832,5.0765,-2.4876,1.6203,5.0954,3.3112,1.6585,5.5183,2.8834,-3.4147,1.785
3,长裤,3059,57814,1.3249,43012,0.0397,3.93,1.6571,1.016,2.0785,2.7246,3.5619,-0.1265,1.4785,4.7563,3.6731,1.8322,4.1009,1.7887,-1.7076,1.3249
4,喇叭裤,1091,46073,1.1797,34910,0.0371,2.83,1.177,-0.0298,2.2674,3.7948,4.4826,-1.8976,2.2061,6.5944,3.7683,3.0822,6.6492,3.4762,-2.8654,1.1797
5,套装,127,5406,1.1181,3377,0.009,0.81,2.0781,1.36,-0.1826,1.8108,1.5657,0.0435,0.6203,1.3398,0.8922,0.0238,0.8283,1.6911,-0.0385,1.1181
6,裤子,4633,79834,0.9266,55797,0.0276,5.05,-0.8141,1.8744,1.7573,2.1572,3.2935,-1.5008,1.3179,2.6208,1.7154,0.7638,3.3397,2.2138,-1.7315,0.9266
7,女裤,428,12581,0.7477,8878,0.029,1.59,0.4207,2.3931,-0.0566,1.9845,1.7417,1.192,1.9482,2.3543,2.2615,1.8269,2.2567,0.0565,-0.4827,0.7477
8,牛,189,8505,0.7143,5888,0.0314,1.29,1.08,-0.205,1.3415,0.7651,2.3838,0.3146,-3.0204,5.9171,2.8862,0.2843,2.5174,-0.106,-0.2268,0.7143
9,裤,7715,121327,0.4333,89819,0.0362,5.07,0.8069,0.8004,1.1023,2.7197,4.4996,-1.9824,0.344,4.2561,2.0944,2.221,4.0052,2.1292,-2.4737,0.4333
10,七分裤,980,27270,0.0724,19052,0.0552,2.18,-0.7749,0.5842,-0.046,1.7719,2.329,-3.6634,0.3654,1.892,0.289,0.2507,1.6107,1.9074,-1.799,0.0724
11,夏装,71,4005,-0.0423,2853,0.0607,1.82,0.1646,1.3393,1.6,1.8405,1.7079,-0.7443,1.1415,1.4403,-0.4435,-1,2.7266,0.4,-1.4906,-0.0423
12,背带裤,3269,103750,-0.4374,76563,0.0269,3.57,1.1581,0.7822,0.876,6.1654,6.7192,-3.929,-1.6642,4.8169,2.1869,3.5162,6.7364,2.1162,-6.8826,-0.4374
13,背带,1035,33825,-0.8589,26017,0.0353,2.74,-0.2538,-0.8111,-0.794,3.1713,3.8726,-5.5907,-2.5435,1.0948,-1.8344,0.8726,2.9827,1.4222,-6.6044,-0.8589
14,刺绣,77,6003,-1.1299,4137,0.0425,1.12,-0.1088,0.8849,-0.1349,1.1618,3.1493,-0.5421,0.0707,1.812,1.8603,-1.0083,1.0952,2.1127,0.5,-1.1299
15,超短裤,697,31983,-1.7805,23860,0.0761,2.21,-2.7122,0.1474,-1.5109,2.1981,4.7295,-6.2207,-3.6795,0.5962,-1.9483,-3.4313,1.26,4.8504,-4.1365,-1.7805
16,五分裤,182,10017,-2.7692,6554,0.0482,1.61,1.0808,0.5427,-0.7004,0.6481,3.4409,-2.1178,-1.5724,0.1459,-1.4526,-5.0415,0.7579,1.443,-1.7818,-2.7692
17,马裤,6,642,-2.8333,371,0.0667,0.63,0.9167,-1.3333,,2,2.6667,,,,0.0833,,,3.1667,4.8333,-2.8333
18,女装,877,23982,-3.2349,15829,0.0303,1.33,0.639,-0.1153,1.4828,1.7667,3.5657,-2.1523,-0.0699,1.5618,0.6454,0.8678,3.1432,2.7567,-3.9239,-3.2349
19,热裤,656,26674,-3.4085,20345,0.0774,1.32,0.1674,-0.2547,-0.9654,2.3308,3.9526,-4.6829,-1.205,0.4642,-2.2397,-3.6962,1.3208,2.8923,-3.6536,-3.4085
20,短裤,12667,188480,-3.6576,137798,0.069,3.7,-1.7029,1.0639,-3.8691,1.7762,7.3149,-9.9676,-3.3623,-1.6254,-6.3756,-5.8411,-0.1439,3.9491,-6.3926,-3.6576
21,连体裤,6,608,-4,460,0,0.33,0.5714,-9.1429,1.8333,3.9167,0.3333,,,,3.5,1.8333,3.3333,0.8333,,-4
