ÅÅÃû,ËÑË÷´Ê,ËÑË÷Ôö³¤·ù¶È,ËÑË÷ÈËÆø,µã»÷ÂÊ,µã»÷ÈËÆø,Ö§¸¶×ª»¯ÂÊ,Ö±Í¨³µ²Î¿¼¼Û,ÈÕÆÚ£º20170728,ÈÕÆÚ£º20170729,ÈÕÆÚ£º20170730,ÈÕÆÚ£º20170731,ÈÕÆÚ£º20170801,ÈÕÆÚ£º20170802,ÈÕÆÚ£º20170803
1,mashama,42.8017,9007,2.0464,8659,0.0012,0,,,,,,,2.0464
2,popo boom,26.697,2975,3.8369,2932,0,0,,,,,,3.6087,3.8369
3,popoboom,22.2308,1433,2.7387,1184,0.0175,0,4.2174,4.3478,,2.8182,,,2.7387
4,notnow,16.2642,2977,2.2682,2768,0.0012,0,,,,,,,2.2682
5,Å£×Ð¶¡×Ö¿ã,5.75,425,2.4441,352,0,0,,1.8056,,,,,2.4441
6,Ä­Ä­¼Ò,5,758,1.6887,531,0,0,,,,1.5636,,,1.6887
7,117249522,3.375,306,3.0345,272,0,0,,,,,,,3.0345
8,117249538,2.625,265,2.0118,228,0,0,,,,,,,2.0118
9,³õÁµ¿ã,2.5533,6502,0.1591,1407,0,0,,,,,,,0.1591
10,bdg¶Ì¿ã,2.4444,279,1.6852,250,0.037,0,,,,,,,1.6852
11,117249531,2.2222,449,1.9149,425,0.0185,0,,,,,,2.5714,1.9149
12,¿¨Ë¼ÃÄ,2,181,2.9143,155,0.0667,0,,,,,,,2.9143
13,117235504,2,228,0.7111,205,0,0,,,,,,,0.7111
14,Çï¼¾Å£×Ð,1.9231,326,0.3148,47,0,0,0.3488,,,,,,0.3148
15,Â¬½àÔÆ±³´ø¿ã,1.8462,320,1.3312,213,0.0909,0,,,,,,,1.3312
16,³õÁµ¿ã×Ó,1.8421,425,0.2436,110,0,0,,,,,,,0.2436
17,Áù×Ð¿ã,1.8333,172,1.9167,69,0.5,0,,,,3.3158,,,1.9167
18,³¬¶Ì¿ãÃ«±ß,1.8333,172,1.0303,119,0.0909,0.73,2.3623,,,,,,1.0303
19,ÅÖæ¤Å£×Ð¿ã,1.8333,172,0.5775,58,0.2,0,,,1.2157,,0.9783,,0.5775
20,²¼¹ÈÄñÅ®×°,1.75,213,0.1562,58,0,0,,,,,,,0.1562
21,ÃÀÈËÓã¿ã×Ó,1.6667,164,0.5714,47,0,0,,,,,,,0.5714
22,Å£×Ð¿ãÔçÇï,1.6667,164,0.5,69,0,0,1.6154,,,,,,0.5
23,e+qÅ£×Ð¿ã,1.625,205,0.5,129,0,0,,,0.1667,,,,0.5
24,Õê×ÓÐ¡ÆÌ,1.5556,220,0.9091,155,0.0667,0,,,,,,,0.9091
25,ÕÔÀöÓ± ±³´ø¿ã,1.5,155,2.697,100,0.1111,0.45,,,,,,,2.697
26,chic Å£×Ð¿ã,1.5,155,2.3714,110,0.1,0.46,,,0.7812,,,,2.3714
27,ÃÔÄã¶Ì¿ã,1.5,272,0.9385,129,0,0,,,,,,,0.9385
28,³¬¶Ì¿ãÏÔÊÝ,1.5,197,1.4141,147,0,0.66,,,,,,,1.4141
29,topshop lucas,1.5,306,0.4068,69,0,0,,,,0.2885,,,0.4068
30,vintage±³´ø¿ã,1.4444,213,2.2245,138,0.0769,0,,,,,,,2.2245
31,×ß¹â³¬¶Ì¿ã,1.4286,172,3.3099,110,0,0,,,,,,,3.3099
32,ÂÞÐ¡½ã,1.3906,899,1.6422,488,0.0308,0,,,,,6.9968,,1.6422
33,317364501,1.375,189,0.8113,147,0,0,,1.2714,,0.72,,,0.8113
34,7mÅ£×Ð¿ã,1.3636,243,0.8788,138,0,0,,,,,,0.75,0.8788
