排名,搜索词,相关搜索词数,搜索人气,词均搜索增长幅度,点击人气,支付转化率,直通车参考价,日期：20170721,日期：20170722,日期：20170723,日期：20170724,日期：20170725,日期：20170726,日期：20170727,日期：20170728,日期：20170729,日期：20170730,日期：20170731,日期：20170801,日期：20170802,日期：20170803
1,秋装,26,2342,2.3462,1672,0.0184,0.64,,,,,,,,,6,17,3,1,1,1
2,背带裤,3295,100692,1.1636,74317,0.0283,3.97,11,1,2,14,14,4,7,3,1,10,22,12,7,2
3,牛,218,9690,1.1468,6573,0.0386,1.5,8,20,15,2,16,2,5,14,12,21,7,8,14,3
4,五分裤,202,8722,1.0248,5869,0.0541,1.4,16,21,11,10,13,17,16,21,19,15,12,16,20,4
5,女裤,489,14048,0.9652,9785,0.0312,2,13,12,17,1,2,8,6,9,13,20,8,7,9,5
6,热裤,699,28672,0.9371,21952,0.0704,1.24,18,8,7,15,12,16,20,20,15,5,17,19,15,6
7,裤子,4786,76833,0.8934,53760,0.0277,3.4,5,10,12,7,5,7,10,13,7,8,11,6,5,7
8,短裤,12584,203158,0.8211,150023,0.0663,4.88,20,15,1,18,17,18,21,22,20,2,20,20,17,8
9,裤,7918,121321,0.7249,89418,0.0356,3.81,10,7,5,9,9,6,8,5,5,9,14,9,4,9
10,套装,79,4707,0.5696,2722,0.0226,0.96,15,14,19,3,7,13,11,16,18,14,6,5,16,10
11,长裤,3208,59560,0.5175,44147,0.0383,4.77,3,6,10,4,4,5,2,8,4,13,10,3,6,11
12,夏装,66,3474,0.4091,2403,0.0456,1.47,6,13,18,6,6,12,15,17,11,19,9,11,10,12
13,喇叭裤,1102,47601,0.2178,35892,0.0366,1.9,2,3,6,8,1,1,1,4,2,3,15,4,2,13
14,牛仔裤,18902,227017,0.1933,165838,0.0395,5.09,9,5,3,12,3,3,4,10,3,6,16,2,3,14
15,七分裤,983,34787,0.1129,24172,0.0581,2.58,12,16,16,13,8,9,13,15,14,12,13,10,12,15
16,背带,1058,39294,0.0955,29971,0.0348,2.37,17,4,8,16,15,14,18,11,10,16,21,13,19,16
17,刺绣,84,5724,-0.4524,3966,0.0489,1.55,14,19,13,5,10,10,9,18,17,11,4,14,13,17
18,超短裤,622,30807,-0.6158,23217,0.0727,2.25,19,9,4,17,18,15,19,19,16,1,19,15,21,18
19,仔裤,6,1928,-2,1247,0.0203,0.88,,18,,,,,,6,,,2,,8,19
20,女装,854,25547,-2.9461,17438,0.0292,1.56,7,17,9,11,11,11,12,12,9,7,18,18,11,20
