排名,搜索词,相关搜索词数,搜索人气,词均搜索增长幅度,点击人气,支付转化率,直通车参考价,日期：20170721,日期：20170722,日期：20170723,日期：20170724,日期：20170725,日期：20170726,日期：20170727,日期：20170728,日期：20170729,日期：20170730,日期：20170731,日期：20170801,日期：20170802,日期：20170803
1,秋装,26,2342,2.3462,1672,0.0184,0.64,,,,,,,,,0.0197,0,0.0093,0,0.0098,0.0184
2,背带裤,3295,100692,1.1636,74317,0.0283,3.97,0.0286,0.0287,0.0287,0.0286,0.0286,0.0279,0.0271,0.027,0.0251,0.027,0.027,0.0269,0.0269,0.0283
3,牛,218,9690,1.1468,6573,0.0386,1.5,0.0452,0.0377,0.0503,0.0478,0.0353,0.0387,0.0438,0.0418,0.0336,0.04,0.0443,0.0314,0.0416,0.0386
4,五分裤,202,8722,1.0248,5869,0.0541,1.4,0.0718,0.0582,0.0621,0.0596,0.0565,0.0529,0.0602,0.0722,0.053,0.0529,0.0539,0.0482,0.0509,0.0541
5,女裤,489,14048,0.9652,9785,0.0312,2,0.0303,0.0272,0.0371,0.0381,0.0329,0.0356,0.0301,0.0327,0.0262,0.0275,0.0258,0.029,0.0329,0.0312
6,热裤,699,28672,0.9371,21952,0.0704,1.24,0.0708,0.0706,0.074,0.0741,0.0728,0.0747,0.072,0.0756,0.0709,0.0723,0.0711,0.0774,0.0803,0.0704
7,裤子,4786,76833,0.8934,53760,0.0277,3.4,0.0354,0.0337,0.0348,0.0322,0.0318,0.0348,0.0312,0.0276,0.0273,0.0283,0.0246,0.0276,0.028,0.0277
8,短裤,12584,203158,0.8211,150023,0.0663,4.88,0.0682,0.0683,0.0707,0.0696,0.0695,0.0702,0.0727,0.0682,0.065,0.0674,0.0656,0.069,0.0684,0.0663
9,裤,7918,121321,0.7249,89418,0.0356,3.81,0.0379,0.0367,0.04,0.038,0.0383,0.0366,0.0359,0.0356,0.034,0.0356,0.0344,0.0362,0.0363,0.0356
10,套装,79,4707,0.5696,2722,0.0226,0.96,0.0201,0.0247,0.0325,0.0253,0.0175,0.0294,0.0145,0.0324,0.0177,0.0171,0.012,0.009,0.0171,0.0226
11,长裤,3208,59560,0.5175,44147,0.0383,4.77,0.0401,0.0399,0.0403,0.043,0.0408,0.0408,0.0389,0.0387,0.0362,0.0381,0.0377,0.0397,0.0387,0.0383
12,夏装,66,3474,0.4091,2403,0.0456,1.47,0.0623,0.0457,0.0579,0.0577,0.061,0.0563,0.0718,0.0674,0.0668,0.0502,0.0573,0.0607,0.068,0.0456
13,喇叭裤,1102,47601,0.2178,35892,0.0366,1.9,0.0359,0.0389,0.037,0.0347,0.0367,0.0362,0.0345,0.0344,0.0325,0.0343,0.034,0.0371,0.0368,0.0366
14,牛仔裤,18902,227017,0.1933,165838,0.0395,5.09,0.0437,0.0423,0.0439,0.0442,0.0439,0.0436,0.0416,0.0403,0.0385,0.0386,0.0384,0.0403,0.0394,0.0395
15,七分裤,983,34787,0.1129,24172,0.0581,2.58,0.0606,0.0646,0.0597,0.0683,0.0584,0.0653,0.0547,0.0573,0.0507,0.054,0.0562,0.0552,0.0539,0.0581
16,背带,1058,39294,0.0955,29971,0.0348,2.37,0.038,0.0372,0.0399,0.0362,0.0401,0.0393,0.035,0.0353,0.0336,0.0361,0.0365,0.0353,0.0366,0.0348
17,刺绣,84,5724,-0.4524,3966,0.0489,1.55,0.0459,0.0382,0.0396,0.0409,0.0412,0.0469,0.0421,0.0277,0.0327,0.037,0.0357,0.0425,0.0362,0.0489
18,超短裤,622,30807,-0.6158,23217,0.0727,2.25,0.0753,0.0769,0.0743,0.0787,0.0778,0.0779,0.0743,0.0734,0.0709,0.0759,0.073,0.0761,0.0773,0.0727
19,仔裤,6,1928,-2,1247,0.0203,0.88,,0,,,,,,0.0488,,,0.0217,,0.0256,0.0203
20,女装,854,25547,-2.9461,17438,0.0292,1.56,0.0444,0.0248,0.03,0.032,0.0338,0.0348,0.0346,0.0351,0.0285,0.0319,0.0262,0.0303,0.0335,0.0292
