排名,搜索词,搜索增长幅度,搜索人气,点击率,点击人气,支付转化率,直通车参考价,日期：20170728,日期：20170729,日期：20170730,日期：20170731,日期：20170801,日期：20170802,日期：20170803
1,popo-boom,24.5455,1365,3.903,1345,0.0036,0,,,,,,,1345
2,牛仔短裤 夏 女,11.5,781,0.2588,243,0.0769,0.88,,,767,,147,,243
3,大码宽松哈伦牛仔裤女胖mm高腰学生长裤,10.6667,515,12.7143,205,0.0476,0,,,,,,,205
4,牛仔裤女夏2017新款 韩版秋季,8.1111,578,0.8498,358,0,0,,,,,,,358
5,破洞牛仔裤 女 夏,7.0909,613,0.2434,265,0,0.64,,,,,,,265
6,绒懿旗舰店,6.7143,425,1.0926,313,0,0,,,,,,,313
7,2017新款阔腿无弹牛仔裤,6.6154,662,2.2871,690,0,0,,,,,,,690
8,牛仔裤女夏2017新款 韩版 胖mm,5.1429,358,0.9327,189,0.0526,0,,,,,,,189
9,牛仔裤女春夏季2017新款 9分裤,4.7143,339,0.9747,265,0,0.42,228,,,,,,265
10,topshop绑带牛仔裤,4.2857,320,1.6373,306,0.0571,0,,,,,,,306
11,背带牛仔裤女九分裤宽松破洞阔腿夏季韩版时尚学生百搭女装潮包邮,4,339,3,339,0,0,,,,,,,339
12,九分牛仔裤 女 小脚裤,3.875,333,0.1382,147,0.1429,1.48,,,,,,,147
13,浪花一朵朵谭松韵同款牛仔短裤,3.6667,722,0.7824,547,0,0,,,,,250,,547
14,tttj72680q,3.625,320,1.219,197,0,0,,300,,,,,197
15,牛仔裤女夏2017新款 韩版弹力,3.5556,346,1.4306,250,0,0,,,,,,,250
16,薄款牛仔裤女夏,3.4,493,0.5925,250,0.037,0.91,,,,,,,250
17,潮短裤女,3.25,408,1.3059,272,0.0333,0.53,,265,,,,,272
18,流苏牛仔裤微喇叭九分裤女夏,3.1667,236,1.8272,172,0.1176,0,,,,,,,172
19,破洞裤女 韩版 潮学生黑色 牛仔,3.1429,265,1.029,147,0,0,,,,,,,147
20,eetj72506a,3.1429,265,0.3699,110,0.1,0,,,,,,,110
21,韩版破洞七分牛仔裤,3.0588,510,2.2754,493,0,0,,,,,,,493
22,凸傲旗舰店,2.8889,306,2.5,279,0.0968,0,,,,265,,,279
23,牛仔裤女 七分裤 宽松,2.8333,220,0.7273,155,0.0667,0.58,,,,,110,,155
24,牛仔裤批发5-10元包邮女,2.75,272,0.9185,189,0.0526,0,,,,,,,189
25,初恋裤女,2.7249,2845,0.3066,875,0,0,,,,,,365,875
26,绑带阔腿裤女 高腰 牛仔,2.7143,243,1.0678,119,0,0,,,,,,,119
27,软妹牛仔裤女宽松直筒,2.7,320,1.8837,138,0,0,,,,,,,138
28,tttj62651e,2.6667,213,1.2419,129,0.0833,0,,,,,,,129
29,班申牛仔短裤女夏高腰阔腿裙裤2017新款韩版宽松显瘦a字裙阔腿裤,2.6667,293,1.6178,265,0.2069,0,,,,,,,265
30,阔腿裤乞丐女牛仔 原宿 破洞,2.625,265,0.6423,155,0,0,,,,,,,155
31,tttj62631e,2.6,313,0.8611,189,0.0526,0,,80,,,,,189
32,2017夏装新款宽松牛仔短裤女学生韩版百搭a字热裤显瘦毛边阔腿裤,2.6,425,0.5323,258,0.0357,0,,,,,,,258
33,牛仔 裤 女长裤,2.5714,402,0.9697,313,0.0278,1.51,,,,,,,313
34,太牛派服饰,2.5714,236,4.4301,220,0.0435,0,,,,,,,220
35,sasa小姐 定制 2017夏重工水洗露口袋秒变大长腿牛仔短裤,2.5,205,0.8387,110,0.3,0,,,,,,,110
36,黑色毛边小脚牛仔裤女,2.5,205,1.2647,189,0.2105,0.34,,,,,,,189
37,烂牛仔裤女破洞 潮 宽松 韩版,2.5,205,0.6667,90,0.125,0,,,,,,,90
38,毛边牛仔裤休闲阔腿裤女,2.375,250,1.8276,220,0,0,,,,,,,220
39,女短裤夏季2017新款 韩版 百搭 高腰,2.3333,197,0.8514,100,0.1111,0,,,,,,,100
40,女裤子夏新款2017潮 韩版 学生 bf,2.3333,197,1.7581,119,0,0,,,,,,,119
